ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20200720160405NAL0001202867001,2019-01-01,2019-12-31,001,471008886,,276715,27281,,,,,,,,,,,109552,249042,,,,7346087,,,,,,8008677,,,,,0,8008677,,16060,33355,,,,,,,,,,,58529,318375,,,,10939527,,,,,,11365846,,,,,0,11365846,652899,1499357,19453,,2171709,,,,,4089,,4089,,,340317,340317,,,,0,,,0,6788,,,,1553519,39,4076461,255210,,,255210,443010,,,,,,21072,21072,719292,3357169,0,0,3,1,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200909083356NAL0000547360001,2019-01-01,2019-12-31,002,203724403,,,,,,,,,,,,,,,,,,,,,,29800000,,,29800000,,,20846620,,20846620,8953380,,,,,,,,,,,,,,,,,,,,,,40680000,,,40680000,,,20095725,,20095725,20584275,1517666,,,,1517666,,,,,,,0,,,,0,,,,0,,10880000,10880000,,,,,,,12397666,74663,,,74663,,,692108,,,,,0,766771,11630895,,,1,2,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200721082402NAL0003256194001,2019-01-01,2019-12-31,002,041123040,,2518631,,,1306591,,,,,,,,,1349849,1856801,,,,40159112,,,9848849,,,57039833,,,,,0,57039833,,2950342,,,1685049,,,,,,,,,1353931,2231021,,,,50234094,,,12778902,,,71233339,,,,,0,71233339,2950342,2646602,3488605,,9085549,39714,,,,73145,,112859,,,997089,997089,,1409582,1388311,21271,,2382504,2382504,47588,,,,8453719,,21100579,6777233,,,6777233,316,,,2000,86218,41306,,129524,6907073,14193506,,,1,2,"GRAY, GRAY & GRAY",042088368,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200721083357NAL0001550017001,2019-01-01,2019-12-31,002,471008886,841,20866,,0,0,,,,,,,,,,,,,,,,,59500000,,,59521707,,,1015257,,1015257,58506450,114,9021,,0,0,,,,,,,,,,,,,,,,,79600000,,,79609135,,,960745,,960745,78648390,611966,,,,611966,,,,,,,0,,,,0,,,,0,,20100000,20100000,,,,,,,20711966,529304,,,529304,,,40722,,,,,0,570026,20141940,,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20201008105509NAL0012376145001,2019-01-01,2019-12-31,001,041309690,,0,,2496,1362291,,,,,,,,,,32082532,,,,0,,,,,,33447319,,50097,,,50097,33397222,,0,,0,208397,,,,,,,,,,37710720,,,,0,,,,,,37919117,,27840,,,27840,37891277,,,,,0,12299,,,,,,12299,,,,0,,,,0,,,0,7055960,,,,,,7068259,2466580,,,2466580,,,,,,107624,,107624,2574204,4494055,,,3,1,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,1,2,2,,,,2,,,,1,,,,,,,,,4224637
20201008095859NAL0015280192001,2019-01-01,2019-12-31,001,521405842,0,197794,0,0,2173028,0,0,0,0,0,0,0,0,1180401,0,0,0,0,95292457,,0,0,0,0,98843680,0,0,0,0,0,98843680,0,200466,0,0,2773546,0,0,0,0,0,0,0,0,1144459,0,0,0,0,115021736,,0,0,0,0,119140207,0,0,0,0,0,119140207,2800752,7044328,1561428,0,11406508,46733,0,0,0,64484,0,111217,0,0,5749544,5749544,0,0,0,0,0,0,0,0,0,0,0,16283012,0,33550281,13241985,0,0,13241985,12175,11996,0,0,0,30811,-43213,-12402,13253754,20296527,0,,3,1,MAYER HOFFMAN MCCANN P.C.,431947695,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200728094229NAL0006365441001,2019-01-01,2019-12-31,003,041123740,6137,,,197460,,,,,,,,,,,,,,,628528,,,7592718,,,8424843,,,,432727,432727,7992116,0,,,203400,,,,,,,,,,,,,,,757121,,,7984725,,,8945246,,,,528524,528524,8416722,,,,,,,,,,,,,,213822,,213822,,,,,,982497,982497,,,,,,80,1196399,759850,,,759850,,,11943,,,,,,771793,424606,,,1,2,"PKF, PC",043138777,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,
20200728074218NAL0013131026001,2019-01-01,2019-12-31,003,270396940,,0,,,,,,,,,,,,,,,,,,,,166803000,,,166803000,,,947302,0,947302,165855698,12,,,,,,,,,,,,,,,,,,,,,217301000,,,217301012,,,935602,,935602,216365410,97624,,,,97624,12,,,,,,12,,,,,,,,,,50498000,50498000,,,,,,,50595636,59803,,,59803,,,26121,,,,,,85924,50509712,,,1,2,RSM US LLP,420714325,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200728162348NAL0007138545001,2019-01-01,2019-12-31,002,041802790,0,0,0,0,0,0,0,0,0,0,0,0,0,1492913,75321214,0,0,0,0,0,0,0,0,0,76814127,0,,0,0,0,76814127,0,1408942,0,0,0,0,0,0,0,0,0,0,0,1381670,897637,0,0,0,90131536,0,0,0,0,0,93819785,0,,0,0,0,93819785,2691480,4163792,985286,0,7840558,150337,0,0,0,77101,0,227438,0,0,5239780,5239780,0,0,0,0,0,0,0,2935,0,0,0,616966,10655098,24582775,7456186,0,0,7456186,0,119581,0,0,0,0,1350,1350,7577117,17005658,0,0,3,1,"WOLF & COMPANY, PC",042689883,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,1,1,2,,,,,,,,,,,,,
20200728065617NAL0007831651001,2019-01-01,2019-12-31,001,043061714,,1554449,62389,,,,,,,,,,,172510,1304925,,,,22230449,,,,,,25324722,,,,,,25324722,,0,0,,,,,,,,,,,266905,1955226,,,,29501829,,,,,,31723960,,,,,,31723960,1709,1701054,158182,,1860945,,,,,13803,,13803,,,1160988,1160988,,,,,,,,33150,,,,4532244,,7601130,1115086,,,1115086,,,,,,86806,,86806,1201892,6399238,,,3,1,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200728091712NAL0007913011001,2019-01-01,2019-12-31,006,041123740,,11206,17747,,,,,,,,,,,889441,2546887,,,,32200451,,,,,,35665732,,,,,,35665732,,0,19852,,,,,,,,,,,990367,2538737,,,,40464928,,,,,,44013884,,,,,,44013884,1143280,1294714,140308,,2578302,,,,,50755,,50755,,,2082952,2082952,,,,,,,,48825,,,,6082010,,10842844,2472272,,,2472272,,,,,,,22420,22420,2494692,8348152,,,3,1,"PKF, P.C.",043138777,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,
20201002134120NAL0013243138001,2019-01-01,2019-12-31,003,042041237,2414044,,,11010005,,,,,,,,,,,,,,,,,,,,,13424049,,,,,0,13424049,0,,,8183000,,,,,,,,,,,,,,,,,,,,,8183000,,,,,0,8183000,,,,,0,,,,,,,0,,,,0,,,,0,,-2827000,-2827000,,,,,,,-2827000,2414049,,,2414049,,,,,,,,0,2414049,-5241049,,,1,2,"BLUM, SHAPIRO AND COMPANY, P.C",061009205,,2,,2,,2,,2,,1,5000000,2,,2,,2,,2,2,2,2,,2,,1,0,,,,,,,,,,,,
20200414094009NAL0013665937001,2019-01-01,2019-06-30,002,261697053,,0,0,24,21743,,,,,,,,,,,,,,14624389,,,,,,14646156,0,0,0,135,135,14646021,,0,0,0,0,,,,,,,,,,,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,145902,0,0,0,,0,145902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145902,14753997,0,0,14753997,0,,0,0,27102,10824,0,37926,14791923,-14646021,0,,1,2,"BDO USA, LLP",135381590,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,2,2,1,2,,2,,1,0,,,,,,,,,,,,
20201001121338NAL0005778673001,2019-01-01,2019-12-31,001,042803764,566,0,0,0,764215,0,0,0,0,332890,0,0,0,220103,0,0,0,0,27901737,,0,0,0,0,29219511,0,0,0,0,0,29219511,769,0,0,0,838788,0,0,0,0,425698,0,0,0,187405,0,0,0,0,37748785,,0,0,0,0,39201445,0,0,0,0,0,39201445,1141573,1789968,27355,0,2958896,14541,0,0,0,8681,0,23222,0,3901,1700758,1704659,0,457794,436638,21156,0,45336,45336,0,0,0,0,6012236,0,10765505,728770,0,0,728770,48175,0,0,0,0,5363,1263,6626,783571,9981934,0,,3,1,"GRAY, GRAY & GRAY, LLP",042088368,,1,84428,2,,2,,2,,1,550000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,
20201009132155NAL0000143507001,2019-01-01,2019-12-31,002,041967105,,0,0,,,,,,,,,,,198361,4404559,,,,27694191,,,,,,32297111,,,,,0,32297111,,1370,4186,,,,,,,,,,,208900,4317677,,,,33948380,,,,,,38480513,,,,,0,38480513,681599,1502961,379159,,2563719,,,,0,10615,,10615,,,531341,531341,,,,0,,,0,114790,,,,6613027,,9833492,3580721,,,3580721,979,,,,18419,49971,,68390,3650090,6183402,,,1,2,CITRIN COOPERMAN,222428965,,1,1,2,,2,,2,,1,3000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200914141013NAL0004287249001,2019-01-01,2019-12-31,002,743073286,0,0,0,0,978002,0,0,0,0,0,0,0,0,520615,0,0,0,0,15487637,,0,0,0,0,16986254,0,0,0,0,0,16986254,0,0,0,0,1016556,0,0,0,0,0,0,0,0,555701,0,0,0,0,19144728,,0,0,0,0,20716985,0,0,0,0,0,20716985,723906,1632530,71692,0,2428128,14723,0,0,0,29606,0,44329,0,0,1052784,1052784,0,0,0,0,0,0,0,0,0,0,0,2509911,0,6035152,2262971,0,0,2262971,8036,0,0,0,0,0,33414,33414,2304421,3730731,0,,3,1,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,
20200914130117NAL0000152755001,2019-01-01,2019-12-31,001,042324804,,18010,38603,0,,,,,,,,,,1431308,15650223,,,,23055460,,,,,,40193604,0,0,0,0,0,40193604,,19078,44840,0,,,,,,,,,,1164450,18149633,,,,27900608,,,,,,47278609,,,,,0,47278609,332219,2118424,319376,,2770019,0,0,0,0,85776,0,85776,0,0,378675,378675,0,0,0,0,0,0,0,2514053,0,0,0,5628931,0,11377454,4389674,0,0,4389674,0,0,,0,20769,0,0,20769,4410443,6967011,117994,,3,1,"SULLIVAN AND FOLAN, LLC",043252952,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200915162949NAL0000490115001,2019-01-01,2019-12-31,002,042324804,,,,,531762,,,,,,,,,,,,,,,,,39173227,,,39704989,,,,40710382,40710382,-1005393,,,,,255879,,,,,,,,,,,,,,,,,54809962,,,55065841,,,,39280963,39280963,15784878,3653993,0,0,0,3653993,11143,0,0,0,,0,11143,0,0,0,0,0,0,0,0,0,15636734,15636734,0,0,0,0,0,0,19301870,643059,0,0,643059,0,,1750546,0,0,0,0,0,2393605,16908265,0,117994,1,2,SULLIVAN AND FOLAN LLC,043252952,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200124150830NAL0000235283001,2019-01-01,2019-08-31,003,461710155,,0,0,0,7460098,,,,,,,,,,,,,,,,,0,,,7460098,0,0,0,0,0,7460098,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,0,,,,,0,0,0,0,0,,0,91282,0,0,0,,0,91282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91282,7532833,0,0,7532833,0,,,0,18532,0,15,18547,7551380,-7460098,0,,1,2,CROWE LLP,350921680,,2,0,2,0,2,0,2,0,1,5000000,2,,2,,2,,2,2,1,2,,2,,1,0,,,,,,,,,,,,
20201005141606NAL0007096307001,2019-01-01,2019-12-31,001,042550058,4203,23,71,,,,,,,,,,,200261,3829613,,,,3470514,,,,,,7504685,,,,3325,3325,7501360,797,0,0,366,5931,,,,,,,,,321792,7052079,,,,2179222,,,,,,9560187,,,,6,6,9560181,162814,952072,70013,,1184899,34,,,,16937,,16971,,,117226,117226,,,,0,,,0,1024512,,,,538945,4039,2886592,769786,,,769786,,,,33008,,24977,,57985,827771,2058821,,,3,1,"O'CONNOR & DREW, P.C.",043000523,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20201004224643NAL0008478849001,2019-01-01,2019-12-31,002,042803764,,,,,,,,,,,,,,,,,,,,,,26950000,,,26950000,,,12110000,,12110000,14840000,,,,,,,,,,,,,,,,,,,,,,29800000,,,29800000,,,11245000,,11245000,18555000,1373541,,,,1373541,,,,,,,0,,,,0,,,,0,,2850000,2850000,,,,,,,4223541,4765,,,4765,,,503776,,,,,0,508541,3715000,,,1,2,"GRAY GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20201005113256NAL0009057217001,2019-01-01,2019-12-31,003,042777442,,340000,0,0,0,,,,,,,,,,,,,,,,,23873270,,,24213270,0,0,0,0,0,24213270,,500000,0,46,595,,,,,,,,,,,,,,,,,22278223,,,22778864,,,,,0,22778864,500000,0,0,,500000,595,0,0,0,,0,595,0,591410,0,591410,0,0,0,0,0,-917106,-917106,0,0,0,0,-58683,46,116262,1491487,0,59181,1550668,0,,,0,0,0,0,0,1550668,-1434406,0,,1,2,BAKER NEWMAN NOYES,010494526,,2,0,2,0,2,0,2,0,1,15000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,
20200715104312NAL0009470931001,2019-01-01,2019-12-31,002,043312097,,0,0,,,,,,,,,,,3054666,,,,,110675575,,877667,7714298,,,122322206,,,,,0,122322206,,,,,,,,,,,,,,2774528,,,,,141318333,,1083531,7990709,,,153167101,,,,,0,153167101,4150698,9139387,5066063,,18356148,,,,,168560,,168560,,226189,3861132,4087321,,2812172,2531991,280181,,1295659,1295659,,,,,21116929,192556,45497354,14612109,,1980,14614089,,902,,,,,37468,37468,14652459,30844895,,,1,2,"CROWE, LLP",350921680,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200731074235NAL0019364194001,2019-01-01,2019-12-31,002,042821431,,215000,0,0,101080,,,,,,,,,,,,,,,,,16750800,,,17066880,0,0,0,0,0,17066880,,2250000,0,0,96088,,,,,,,,,,,,,,,,,16230600,,,18576688,,,,,0,18576688,2250000,0,0,0,2250000,789,0,0,0,,0,789,0,0,0,0,0,0,0,0,0,-520200,-520200,0,0,0,0,0,0,1730589,158499,0,0,158499,0,,0,0,0,0,0,0,158499,1572090,0,62282,3,1,"DICICCO, GULMAN & COMPANY LLP",043296226,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,
20200730155411NAL0008446273001,2019-01-01,2019-12-31,003,042272126,2,,,,,,,,,,,,,430513,,,,,19885784,2359801,,,,,22676100,,,,,0,22676100,1,,,,,,,,,,,,,460298,,,,,23457806,2974840,,,,,26892945,,,,,0,26892945,210330,589206,53996,,853532,,,,,21158,73744,94902,,,705530,705530,,,,0,,,0,,,,,4125348,,5779312,1475703,,,1475703,,,,,86764,,,86764,1562467,4216845,,,3,1,"CITRIN COOPERMAN & CO., LLP",222428965,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
